,Country,Paper,Website,Top
37,Congo,Aljazeera,https://www.aljazeera.com/where/democratic-republic-of-the-congo/,https://www.aljazeera.com/news/2021/4/12/dr-congos-tshisekedi-in-full-control-of-new-govt-official
38,Costa Rica,Aljazeera,https://www.aljazeera.com/where/costa-rica,https://www.aljazeera.com/news/2021/1/16/costa-rica-explosive-debt-crisis-all-you-need-to-know
39,Côte d'Ivoire,Aljazeera,https://www.aljazeera.com/where/ivory-coast/,https://www.aljazeera.com/news/2021/4/7/gbagbo-ble-goude-free-to-return-ivory-coast-president
40,Croatia,Euronews,https://www.euronews.com/tag/croatia,https://www.euronews.com//2021/04/19/balkans-rocked-as-leaked-memo-explores-redrawing-bosnia-s-borders-along-ethnic-lines
41,Cuba,Aljazeera,https://www.aljazeera.com/where/cuba,https://www.aljazeera.com/news/2021/4/19/cuba-has-a-new-leader-and-its-not-a-castro
42,Cyprus,Euronews,https://www.euronews.com/tag/cyprus,https://www.euronews.com//2021/03/15/turkey-warns-cyprus-greece-and-israel-over-underwater-electricity-cable-deal
43,Czechia,Euronews,https://www.euronews.com/tag/czechia,https://www.euronews.com//2021/04/14/slavia-s-kudela-banned-for-10-games-by-uefa-for-racist-behaviour
44,Denmark,Euronews,https://www.euronews.com/tag/denmark,https://www.euronews.com//2021/04/15/european-countries-express-interest-in-purchasing-denmark-s-astrazeneca-vaccines
45,Djibouti,Aljazeera,https://www.aljazeera.com/where/djibouti,https://www.aljazeera.com/news/2021/4/12/34-migrants-dead-after-boat-capsizes-off-djibouti-says-iom
46,Dominica,Aljazeera,https://www.aljazeera.com/where/dominica,https://www.aljazeera.com/features/2020/4/1/five-podcasts-to-listen-to-while-under-lockdown
47,Dominican Republic,Aljazeera,https://www.aljazeera.com/where/dominican-republic,https://www.aljazeera.com/news/2020/8/23/twin-caribbean-storms-kill-seven-as-they-head-towards-us-coast
48,Ecuador,Aljazeera,https://www.aljazeera.com/where/ecuador,https://www.aljazeera.com/news/2021/4/12/ecuadors-president-elect-lasso-promises-better-days-are-coming
49,Egypt,Al-Ahram ,https://www.aljazeera.com/where/egypt/,https://www.aljazeera.com/news/2021/4/19/isil-linked-group-in-egypt-claims-execution-of-copt-2-others
50,El Salvador,Aljazeera,https://www.aljazeera.com/where/el-salvador,https://www.aljazeera.com/news/2021/4/5/funeral-held-for-salvadoran-woman-killed-in-mexico-police-custody
51,Equatorial Guinea,Aljazeera,https://www.aljazeera.com/where/equatorial-guinea,https://www.aljazeera.com/news/2021/3/10/hrw-questions-official-death-toll-in-equatorial-guinea-explosion
52,Eritrea,Aljazeera,https://www.aljazeera.com/where/eritrea,https://www.aljazeera.com/news/2021/4/17/eritrea-confirms-its-troops-are-fighting-ethiopias-tigray
53,Estonia,Euronews,https://www.euronews.com/tag/estonia,https://www.euronews.com//2021/02/16/ms-estonia-acquitted-filmmaker-tells-euronews-about-the-huge-hole-that-was-missed-in-1994-
54,Eswatini,Aljazeera,https://www.aljazeera.com/where/eswatini,https://www.aljazeera.com/news/2021/2/20/eswatini-king-recovers-from-covid-takes-drugs-sent-by-taiwan
55,Ethiopia,The Africa Report,https://www.aljazeera.com/where/south-africa/,https://www.aljazeera.com/news/2021/4/19/evacuations-firefighters-battle-wildfire-cape-town
56,Fiji,Aljazeera,https://www.aljazeera.com/where/fiji,https://www.aljazeera.com/news/2021/2/24/crisis-within-a-crisis-violence-against-women-surges-in-fiji
