,Country,Paper,Website,Top
161,Tanzania,Aljazeera,https://www.aljazeera.com/where/tanzania,https://www.aljazeera.com/news/2021/4/6/un-warns-tanzania-not-to-reject-people-fleeing-mozambique
162,Thailand,Reuters,https://www.reuters.com/places/thailand,https://www.reuters.com//article/us-health-coronavirus-thailand/thailand-seeks-5-10-million-doses-of-pfizer-vaccines-idUSKBN2C70LC
163,Timor-Leste,Aljazeera,https://www.aljazeera.com/where/east-timor/,https://www.aljazeera.com/news/2021/4/5/scores-killed-in-indonesia-e-timor-floods-landslides
164,Togo,Aljazeera,https://www.aljazeera.com/where/togo,https://www.aljazeera.com/news/2020/9/26/togos-prime-minister-and-government-resign-presidency-says
165,Trinidad and Tobago,Aljazeera,https://www.aljazeera.com/where/trinidad-and-tobago,https://www.aljazeera.com/opinions/2020/7/19/lets-bring-the-caribbean-struggle-for-reparations-to-britain
166,Tunisia,Aljazeera,https://www.aljazeera.com/where/tunisia,https://www.aljazeera.com/news/2021/4/16/at-least-20-migrants-die-in-vessel-sinking-off-tunisia
167,Turkey, Hürriyet ,https://www.reuters.com/news/archive/turkey,https://www.reuters.com//article/us-greece-turkey/greece-says-resolving-differences-with-turkey-may-be-hard-but-not-impossible-idUSKBN2C5091
168,Turkmenistan,Euronews,https://www.euronews.com/tag/turkmenistan,https://www.euronews.com//2021/02/12/jailed-chinese-human-rights-lawyer-yu-wensheng-wins-martin-ennals-award
169,Tuvalu,Aljazeera,https://www.aljazeera.com/where/tuvalu,https://www.aljazeera.com/features/2020/12/16/fiji-story
170,Uganda,Aljazeera,https://www.aljazeera.com/where/uganda,https://www.aljazeera.com/news/2021/4/16/us-slaps-visa-bans-on-ugandan-officials-linked-to-disputed-polls
171,Ukraine,Euronews,https://www.euronews.com/tag/ukraine,https://www.euronews.com//2021/04/19/eu-foreign-affairs-chief-150-000-russian-troops-at-ukraine-border
172,United Kingdom,BBC,https://bbc.co.uk,https://www.bbc.co.uk/news/live/uk-56812118
173,United States, The New York Times ,https://www.reuters.com/news/archive/domesticNews,https://www.reuters.com//article/us-usa-banks-facialrecognition-anyvision/exclusive-why-a-u-s-hospital-and-oil-company-turned-to-facial-recognition-idUSKBN2C716K
174,Uruguay,Aljazeera,https://www.aljazeera.com/where/uruguay,https://www.aljazeera.com/news/2020/3/2/uruguay-ushers-in-first-conservative-government-in-15-years
175,Uzbekistan,Aljazeera,https://www.aljazeera.com/where/uzbekistan,https://www.aljazeera.com/program/witness/2021/3/25/only-the-devil-lives-without-hope
176,Vanuatu,Aljazeera,https://www.aljazeera.com/where/vanuatu,https://www.aljazeera.com/news/2020/11/11/vanuatu-records-first-covid-19-case-in-man-who-returned-from-us
177,Venezuela,Reuters,https://www.reuters.com/places/venezuela,https://www.reuters.com//article/us-venezuela-un-aid/world-food-programme-venezuela-reach-deal-to-supply-food-to-185000-children-idUSKBN2C62QJ
178,Vietnam,Reuters,https://www.reuters.com/places/vietnam,https://www.reuters.com//article/us-usa-currency-manipulation/u-s-stops-short-of-branding-vietnam-switzerland-taiwan-currency-manipulators-idUSKBN2C31QZ
179,Yemen,Reuters,https://www.reuters.com/places/yemen,https://www.reuters.com//article/saudi-security-yemen-int/saudi-led-coalition-says-it-intercepts-houthi-drone-fired-at-southern-saudi-arabia-idUSKBN2C70TM
180,Zambia,Aljazeera,https://www.aljazeera.com/where/zambia,https://www.aljazeera.com/features/2020/12/7/worlds-biggest-mammal-migration-under-threat
181,Zimbabwe,Aljazeera,https://www.aljazeera.com/where/zimbabwe,https://www.aljazeera.com/news/2021/3/29/could-vaccinating-a-resort-town-revive-tourism-in-zimbabwe
182,Myanmar,Aljazeera,https://www.aljazeera.com/where/myanmar,https://www.aljazeera.com/news/2021/4/20/eu-sanctions-myanmar-generals-as-un-urges-asean-action
183,South Korea,Aljazeera,https://www.aljazeera.com/where/south-korea,https://www.aljazeera.com/news/2021/4/18/s-korea-us-show-differences-over-japans-fukushima-plans
184,Laos,Aljazeera,https://www.aljazeera.com/where/laos,https://www.aljazeera.com/news/2020/4/25/chinas-dams-exacerbated-extreme-drought-in-lower-mekong-study
